"Sat","Infl","Type","Cont","Freq"
"Low","Low","Tower","Low",21
"Medium","Low","Tower","Low",21
"High","Low","Tower","Low",28
"Low","Medium","Tower","Low",34
"Medium","Medium","Tower","Low",22
"High","Medium","Tower","Low",36
"Low","High","Tower","Low",10
"Medium","High","Tower","Low",11
"High","High","Tower","Low",36
"Low","Low","Apartment","Low",61
"Medium","Low","Apartment","Low",23
"High","Low","Apartment","Low",17
"Low","Medium","Apartment","Low",43
"Medium","Medium","Apartment","Low",35
"High","Medium","Apartment","Low",40
"Low","High","Apartment","Low",26
"Medium","High","Apartment","Low",18
"High","High","Apartment","Low",54
"Low","Low","Atrium","Low",13
"Medium","Low","Atrium","Low",9
"High","Low","Atrium","Low",10
"Low","Medium","Atrium","Low",8
"Medium","Medium","Atrium","Low",8
"High","Medium","Atrium","Low",12
"Low","High","Atrium","Low",6
"Medium","High","Atrium","Low",7
"High","High","Atrium","Low",9
"Low","Low","Terrace","Low",18
"Medium","Low","Terrace","Low",6
"High","Low","Terrace","Low",7
"Low","Medium","Terrace","Low",15
"Medium","Medium","Terrace","Low",13
"High","Medium","Terrace","Low",13
"Low","High","Terrace","Low",7
"Medium","High","Terrace","Low",5
"High","High","Terrace","Low",11
"Low","Low","Tower","High",14
"Medium","Low","Tower","High",19
"High","Low","Tower","High",37
"Low","Medium","Tower","High",17
"Medium","Medium","Tower","High",23
"High","Medium","Tower","High",40
"Low","High","Tower","High",3
"Medium","High","Tower","High",5
"High","High","Tower","High",23
"Low","Low","Apartment","High",78
"Medium","Low","Apartment","High",46
"High","Low","Apartment","High",43
"Low","Medium","Apartment","High",48
"Medium","Medium","Apartment","High",45
"High","Medium","Apartment","High",86
"Low","High","Apartment","High",15
"Medium","High","Apartment","High",25
"High","High","Apartment","High",62
"Low","Low","Atrium","High",20
"Medium","Low","Atrium","High",23
"High","Low","Atrium","High",20
"Low","Medium","Atrium","High",10
"Medium","Medium","Atrium","High",22
"High","Medium","Atrium","High",24
"Low","High","Atrium","High",7
"Medium","High","Atrium","High",10
"High","High","Atrium","High",21
"Low","Low","Terrace","High",57
"Medium","Low","Terrace","High",23
"High","Low","Terrace","High",13
"Low","Medium","Terrace","High",31
"Medium","Medium","Terrace","High",21
"High","Medium","Terrace","High",13
"Low","High","Terrace","High",5
"Medium","High","Terrace","High",6
"High","High","Terrace","High",13
